Generation,Version,TargetFramework,Api,Operator
NetFramework40,v4.0,v4.0,Enumerable,Aggregate
NetFramework40,v4.0,v4.0,Enumerable,All
NetFramework40,v4.0,v4.0,Enumerable,Any
NetFramework40,v4.0,v4.0,Enumerable,AsEnumerable
NetFramework40,v4.0,v4.0,Enumerable,Average
NetFramework40,v4.0,v4.0,Enumerable,Cast
NetFramework40,v4.0,v4.0,Enumerable,Concat
NetFramework40,v4.0,v4.0,Enumerable,Contains
NetFramework40,v4.0,v4.0,Enumerable,Count
NetFramework40,v4.0,v4.0,Enumerable,DefaultIfEmpty
NetFramework40,v4.0,v4.0,Enumerable,Distinct
NetFramework40,v4.0,v4.0,Enumerable,ElementAt
NetFramework40,v4.0,v4.0,Enumerable,ElementAtOrDefault
NetFramework40,v4.0,v4.0,Enumerable,Empty
NetFramework40,v4.0,v4.0,Enumerable,Except
NetFramework40,v4.0,v4.0,Enumerable,First
NetFramework40,v4.0,v4.0,Enumerable,FirstOrDefault
NetFramework40,v4.0,v4.0,Enumerable,GroupBy
NetFramework40,v4.0,v4.0,Enumerable,GroupJoin
NetFramework40,v4.0,v4.0,Enumerable,Intersect
NetFramework40,v4.0,v4.0,Enumerable,Join
NetFramework40,v4.0,v4.0,Enumerable,Last
NetFramework40,v4.0,v4.0,Enumerable,LastOrDefault
NetFramework40,v4.0,v4.0,Enumerable,LongCount
NetFramework40,v4.0,v4.0,Enumerable,Max
NetFramework40,v4.0,v4.0,Enumerable,Min
NetFramework40,v4.0,v4.0,Enumerable,OfType
NetFramework40,v4.0,v4.0,Enumerable,OrderBy
NetFramework40,v4.0,v4.0,Enumerable,OrderByDescending
NetFramework40,v4.0,v4.0,Enumerable,Range
NetFramework40,v4.0,v4.0,Enumerable,Repeat
NetFramework40,v4.0,v4.0,Enumerable,Reverse
NetFramework40,v4.0,v4.0,Enumerable,Select
NetFramework40,v4.0,v4.0,Enumerable,SelectMany
NetFramework40,v4.0,v4.0,Enumerable,SequenceEqual
NetFramework40,v4.0,v4.0,Enumerable,Single
NetFramework40,v4.0,v4.0,Enumerable,SingleOrDefault
NetFramework40,v4.0,v4.0,Enumerable,Skip
NetFramework40,v4.0,v4.0,Enumerable,SkipWhile
