Generation,Version,TargetFramework,Api,MemberCount,NewMemberCount
NetFramework40,v4.0,v4.0,Enumerable,51,51
NetFramework45,v4.5,v4.5,Enumerable,51,0
NetFramework451,v4.5.1,v4.5.1,Enumerable,51,0
NetFramework452,v4.5.2,v4.5.2,Enumerable,51,0
NetFramework46,v4.6,v4.6,Enumerable,51,0
NetFramework461,v4.6.1,v4.6.1,Enumerable,51,0
NetFramework462,v4.6.2,v4.6.2,Enumerable,51,0
NetFramework471,v4.7.1,v4.7.1,Enumerable,53,2
NetFramework472,v4.7.2,v4.7.2,Enumerable,54,1
NetFramework48,v4.8,v4.8,Enumerable,54,0
NetCoreApp31,3.1.0,netcoreapp3.1,Enumerable,56,2
Net50,5.0.0,net5.0,Enumerable,56,0
Net60,6.0.36,net6.0,Enumerable,64,8
Net80,8.0.13,net8.0,Enumerable,66,2
Net90,9.0.2,net9.0,Enumerable,69,3
Net100,10.0.10,net10.0,Enumerable,74,5
NetFramework40,v4.0,v4.0,Queryable,44,44
NetFramework45,v4.5,v4.5,Queryable,44,0
NetFramework451,v4.5.1,v4.5.1,Queryable,44,0
NetFramework452,v4.5.2,v4.5.2,Queryable,44,0
NetFramework46,v4.6,v4.6,Queryable,44,0
NetFramework461,v4.6.1,v4.6.1,Queryable,44,0
NetFramework462,v4.6.2,v4.6.2,Queryable,44,0
NetFramework471,v4.7.1,v4.7.1,Queryable,44,0
NetFramework472,v4.7.2,v4.7.2,Queryable,44,0
NetFramework48,v4.8,v4.8,Queryable,44,0
NetCoreApp31,3.1.0,netcoreapp3.1,Queryable,48,4
Net50,5.0.0,net5.0,Queryable,48,0
Net60,6.0.36,net6.0,Queryable,55,7
Net80,8.0.13,net8.0,Queryable,57,2
Net90,9.0.2,net9.0,Queryable,60,3
Net100,10.0.10,net10.0,Queryable,63,3
